cond,SwitchOff_Time,y
SN,6,1.7934247485471162
FO,7,1.9473377010464987
FO,3,1.1019400787607843
FN,4,1.3887912413184778
FN,4,1.3887912413184778
FO,12,2.485739636091892
SN,7,1.9473377010464987
FN,2,0.6981347220709843
SO,0,-4.605170185988091
SO,4,1.3887912413184778
SN,3,1.1019400787607843
FO,12,2.485739636091892
FN,4,1.3887912413184778
FN,4,1.3887912413184778
SN,5,1.6114359150967734
SN,9,2.1983350716202463
SO,4,1.3887912413184778
FO,13,2.565718292524414
FN,2,0.6981347220709843
SN,5,1.6114359150967734
SO,6,1.7934247485471162
SO,0,-4.605170185988091
SN,4,1.3887912413184778
FN,4,1.3887912413184778
FO,45,3.806884687304841
SN,6,1.7934247485471162
FN,4,1.3887912413184778
SO,5,1.6114359150967734
FO,7,1.9473377010464987
SN,7,1.9473377010464987
SN,4,1.3887912413184778
FN,3,1.1019400787607843
SN,4,1.3887912413184778
SO,2,0.6981347220709843
SO,10,2.303584593327129
FO,5,1.6114359150967734
SN,10,2.303584593327129
FN,5,1.6114359150967734
SO,15,2.7087166456453704
SN,3,1.1019400787607843
FN,11,2.3988039507345884
SN,3,1.1019400787607843
SO,3,1.1019400787607843
SO,5,1.6114359150967734
SO,11,2.3988039507345884
SN,6,1.7934247485471162
FN,2,0.6981347220709843
FO,8,2.080690761080268
SN,3,1.1019400787607843
SO,5,1.6114359150967734
FO,4,1.3887912413184778
SN,8,2.080690761080268
FN,3,1.1019400787607843
FN,3,1.1019400787607843
FN,3,1.1019400787607843
SN,3,1.1019400787607843
SO,13,2.565718292524414
FO,3,1.1019400787607843
SN,4,1.3887912413184778
FO,51,3.932021691934835
SN,4,1.3887912413184778
FO,6,1.7934247485471162
FN,3,1.1019400787607843
SO,12,2.485739636091892
FN,6,1.7934247485471162
FN,10,2.303584593327129
SO,4,1.3887912413184778
SN,2,0.6981347220709843
FO,25,3.219275744889528
